,path,classes
0,../Dataset/train\rabbits\rabbits000.jpg,0
1,../Dataset/train\rabbits\rabbits001.jpg,0
2,../Dataset/train\rabbits\rabbits002.jpg,0
3,../Dataset/train\rabbits\rabbits003.jpg,0
4,../Dataset/train\rabbits\rabbits004.jpg,0
5,../Dataset/train\rabbits\rabbits005.jpg,0
6,../Dataset/train\rabbits\rabbits006.jpg,0
7,../Dataset/train\rabbits\rabbits007.jpg,0
8,../Dataset/train\rabbits\rabbits008.jpg,0
9,../Dataset/train\rabbits\rabbits009.jpg,0
10,../Dataset/train\rabbits\rabbits010.jpg,0
11,../Dataset/train\rabbits\rabbits011.jpg,0
12,../Dataset/train\rabbits\rabbits012.jpg,0
13,../Dataset/train\rabbits\rabbits013.jpg,0
14,../Dataset/train\rabbits\rabbits014.jpg,0
15,../Dataset/train\rabbits\rabbits015.jpg,0
16,../Dataset/train\rabbits\rabbits016.jpg,0
17,../Dataset/train\rabbits\rabbits017.jpg,0
18,../Dataset/train\rabbits\rabbits018.jpg,0
19,../Dataset/train\rabbits\rabbits019.jpg,0
20,../Dataset/train\rabbits\rabbits020.jpg,0
21,../Dataset/train\rabbits\rabbits021.jpg,0
22,../Dataset/train\rabbits\rabbits022.jpg,0
23,../Dataset/train\rabbits\rabbits023.jpg,0
24,../Dataset/train\rabbits\rabbits024.jpg,0
25,../Dataset/train\rabbits\rabbits025.jpg,0
26,../Dataset/train\rabbits\rabbits026.jpg,0
27,../Dataset/train\rabbits\rabbits027.jpg,0
28,../Dataset/train\rabbits\rabbits028.jpg,0
29,../Dataset/train\rabbits\rabbits029.jpg,0
30,../Dataset/train\rabbits\rabbits030.jpg,0
31,../Dataset/train\rabbits\rabbits031.jpg,0
32,../Dataset/train\rabbits\rabbits032.jpg,0
33,../Dataset/train\rabbits\rabbits033.jpg,0
34,../Dataset/train\rabbits\rabbits034.jpg,0
35,../Dataset/train\rabbits\rabbits035.jpg,0
36,../Dataset/train\rabbits\rabbits036.jpg,0
37,../Dataset/train\rabbits\rabbits037.jpg,0
38,../Dataset/train\rabbits\rabbits038.jpg,0
39,../Dataset/train\rabbits\rabbits039.jpg,0
40,../Dataset/train\rabbits\rabbits040.jpg,0
41,../Dataset/train\rabbits\rabbits041.jpg,0
42,../Dataset/train\rabbits\rabbits042.jpg,0
43,../Dataset/train\rabbits\rabbits043.jpg,0
44,../Dataset/train\rabbits\rabbits044.jpg,0
45,../Dataset/train\rabbits\rabbits045.jpg,0
46,../Dataset/train\rabbits\rabbits046.jpg,0
